123 ABC,1970-10-11,P01,Sanjita,Chandan,F,abc@xyz,8296462187
234 BCD,1973-10-12,P02,Lehar,Pothugunta,M,def@abc,8296422182
345 CDE,1973-09-13,P03,Shaarvari,Kiran,F,efg@xyz,8298462187
456 DEF,1973-09-14,P04,Shyam,Krishna,M,hij@abc,9296462185
567 EFG,1987-11-17,P05,Mohnish,Choudary,M,klm@xyz,9276462183
678 FGH,1989-08-19,P06,Devika,Kiran,F,nop@abc,8292342187
789 GHI,1999-03-10,P07,Kiran,Kumar,M,qrs@xyz,9236262187
890 HIJ,2002-10-24,P08,Nithya,Kiran,F,tuv@abc,9223465187
901 IJK,2003-03-08,P09,Girija,Merkaje,F,uvw@xyz,9229748333
012 JKL,2002-08-11,P10,Drupad,Bhandary,M,owo@abc,8296462234
